# 第四章抗体选择题题库（纯|分隔·无题号·统一格式·可直接批量导入）
## 统一格式：题干|选项A|选项B|选项C|选项D|选项E|正确答案
即刻固有免疫应答阶段发生于感染后|48小时|12~24小时|0~4小时|2~3天|4天(96小时)|C
适应性免疫应答启动阶段发生于感染后|48小时|12~24小时|0~4小时|2~3天|4天(96小时)|E
可识别结合病毒非甲基化CpG DNA|甘露糖受体|清道夫受体|TLR4同源二聚体|TLR7同源二聚体|TLR9同源二聚体|E
可识别结合细菌岩藻糖残基|甘露糖受体|清道夫受体|TLR4同源二聚体|TLR7同源二聚体|TLR9同源二聚体|A
可识别结合病毒单链RNA|甘露糖受体|清道夫受体|TLR4同源二聚体|TLR7同源二聚体|TLR9同源二聚体|D
可识别结合细菌脂多糖|甘露糖受体|清道夫受体|TLR4同源二聚体|TLR7同源二聚体|TLR9同源二聚体|C
可识别结合凋亡细胞磷脂酰丝氨酸|甘露糖受体|清道夫受体|TLR4同源二聚体|TLR7同源二聚体|TLR9同源二聚体|B
可趋化募集初始T细胞|CXCL8(IL-8)|CCL3(MIP-1α)|CCL11(eotaxin)|CXCL13(BLC)|CCL18(DC-CK1)|E
可趋化募集单核/巨噬细胞|CXCL8(IL-8)|CCL3(MIP-1α)|CCL11(eotaxin)|CXCL13(BLC)|CCL18(DC-CK1)|B
可趋化募集中性粒细胞|CXCL8(IL-8)|CCL3(MIP-1α)|CCL11(eotaxin)|CXCL13(BLC)|CCL18(DC-CK1)|A
可趋化募集嗜酸性粒细胞|CXCL8(IL-8)|CCL3(MIP-1α)|CCL11(eotaxin)|CXCL13(BLC)|CCL18(DC-CK1)|C
可趋化募集肥大细胞|CXCL8(IL-8)|CCL3(MIP-1α)|CCL11(eotaxin)|CXCL13(BLC)|CCL18(DC-CK1)|C
可诱导单核细胞分化为M1型巨噬细胞|IL-12、IL-18|IL-1α、IL-23|IL-4、IL-13|IL-25、IL-33、TSLP|IFN-γ、GM-CSF|E
可诱导单核细胞分化为M2型巨噬细胞|IL-12、IL-18|IL-1α、IL-23|IL-4、IL-13|IL-25、IL-33、TSLP|IFN-γ、GM-CSF|C
可诱导ILC1活化|IL-12、IL-18|IL-1α、IL-23|IL-4、IL-13|IL-25、IL-33、TSLP|IFN-γ、GM-CSF|A
可诱导ILC2活化|IL-12、IL-18|IL-1α、IL-23|IL-4、IL-13|IL-25、IL-33、TSLP|IFN-γ、GM-CSF|D
可诱导ILC3活化|IL-12、IL-18|IL-1α、IL-23|IL-4、IL-13|IL-25、IL-33、TSLP|IFN-γ、GM-CSF|B
是一种不耐热的碱性蛋白|α防御素|溶菌酶|髓过氧化物酶|乙型溶素|主要碱性蛋白|B
是一种对热较稳定的碱性多肽|α防御素|溶菌酶|髓过氧化物酶|乙型溶素|主要碱性蛋白|D
是一种阳离子抗菌蛋白|α防御素|溶菌酶|髓过氧化物酶|乙型溶素|主要碱性蛋白|A
是一种对寄生虫具有毒杀多样的碱性蛋白|α防御素|溶菌酶|髓过氧化物酶|乙型溶素|主要碱性蛋白|E
是一种存在于中性粒细胞中的酶类物质|α防御素|溶菌酶|髓过氧化物酶|乙型溶素|主要碱性蛋白|C
是一种能与细菌脂多糖结合的胞膜型PRR|TLR4同源二聚体|TLR3同源二聚体|NOD样受体|甘露糖结合凝集素|清道夫受体|A
是一种能与细菌脂磷壁酸结合的胞膜型PRR|TLR4同源二聚体|TLR3同源二聚体|NOD样受体|甘露糖结合凝集素|清道夫受体|E
是一种能与病毒双链RNA结合的内体膜型PRR|TLR4同源二聚体|TLR3同源二聚体|NOD样受体|甘露糖结合凝集素|清道夫受体|B
是一种能与细菌胞壁酰二肽结合的胞浆型PRR|TLR4同源二聚体|TLR3同源二聚体|NOD样受体|甘露糖结合凝集素|清道夫受体|C
是一种能与细菌岩藻糖残基结合的分泌型PRR|TLR4同源二聚体|TLR3同源二聚体|NOD样受体|甘露糖结合凝集素|清道夫受体|D
是一种兼备吞噬杀菌和抗原加工提呈作用的免疫细胞|中性粒细胞|肥大细胞|经典DC|浆细胞样DC|巨噬细胞|E
是一种能够诱导初始T细胞活化的免疫细胞|中性粒细胞|肥大细胞|经典DC|浆细胞样DC|巨噬细胞|C
是一种接受病毒刺激后能够产生I型干扰素的免疫细胞|中性粒细胞|肥大细胞|经典DC|浆细胞样DC|巨噬细胞|D
是一种抗胞外病原体感染的免疫细胞|中性粒细胞|肥大细胞|经典DC|浆细胞样DC|巨噬细胞|A
是一种参与过敏性炎症反应的免疫细胞|中性粒细胞|肥大细胞|经典DC|浆细胞样DC|巨噬细胞|B
一种具有自我更新能力的免疫细胞|嗜酸性粒细胞|ILC2|B1细胞|单核细胞|NK细胞|C
一种参与过敏性炎症反应的免疫细胞|嗜酸性粒细胞|ILC2|B1细胞|单核细胞|NK细胞|B
一种对寄生虫具有毒杀作用的免疫细胞|嗜酸性粒细胞|ILC2|B1细胞|单核细胞|NK细胞|A
一种对病毒感染或肿瘤靶细胞具有杀伤作用的免疫细胞|嗜酸性粒细胞|ILC2|B1细胞|单核细胞|NK细胞|E
一种能够在组织中分化发育为M1或M2的免疫细胞|嗜酸性粒细胞|ILC2|B1细胞|单核细胞|NK细胞|D

---

# 第十五章黏膜免疫选择题（纯|分隔·无题号·可直接导入）
## 统一格式：题干|选项A|选项B|选项C|选项D|选项E|正确答案
黏膜免疫系统的主要功能是|对过敏原产生过敏反应|消灭黏膜表面的所有细菌|清除通过黏膜表面入侵机体的病原微生物|发挥免疫监视作用预防肿瘤发生|分泌黏液保持黏膜表面湿润|C
黏膜上皮细胞覆盖的面积约|是体表面积的一半|与体表面积相近|4mm²|40mm²|400mm²|E
不属于黏膜免疫系统组成部分的是|胸腺|泪腺|唾液腺|扁桃腺|分泌期的乳腺|A
属于肠相关淋巴组织的是|胸腺|泪腺|阑尾|肾上腺|分泌期的乳腺|C
黏液中不含|黏蛋白|重组激活基因蛋白|防御素|溶菌酶|过氧化物酶|B
防御素是|阳离子大蛋白|阴离子大蛋白|阳离子小分子肽|阴离子小分子肽|不带电荷小分子肽|C
"Waldeyer"氏环包括|腭扁桃体、腺样体和舌扁桃体|唾液腺、扁桃体、阑尾|扁桃体、阑尾、肠系膜淋巴结|派尔集合淋巴结、独立淋巴滤泡、阑尾|派尔集合淋巴结、独立淋巴滤泡、肠系膜淋巴结|A
派尔集合淋巴结|在出生后形成|数以千计遍布于小肠|肉眼不可见|经淋巴管与肠系膜淋巴结相连|主要含B淋巴细胞,其他细胞少见|D
关于独立淋巴滤泡的叙述错误的是|数以千计遍布于小肠|在胚胎期形成|肉眼不可见|主要含B淋巴细胞,其他细胞少见|经淋巴管与肠系膜淋巴结相连|B
关于肠系膜淋巴结的叙述错误的是|是体内最大的淋巴结群|是黏膜免疫应答的诱导部位之一|在启动针对肠道抗原的免疫应答中起重要作用|主要含B淋巴细胞,其他细胞少见|与派尔集合淋巴结相连|D
被称为黏膜免疫应答诱导部位的是|扁桃体、阑尾、肠系膜淋巴结|腭扁桃体、腺样体、舌扁桃体|派尔集合淋巴结、扁桃体、阑尾|派尔集合淋巴结、独立淋巴滤泡、肠系膜淋巴结|派尔集合淋巴结、独立淋巴滤泡、阑尾|D
肠道共生菌群|诱导黏膜免疫系统产生强烈的免疫应答|调控黏膜免疫细胞的分化|诱导产生黏膜上皮组织的炎症反应|与许多致病菌协同作用入侵黏膜上皮组织|被清除后更有利于机体摄取营养物质|B
不属于黏膜上皮细胞的是|肠细胞|杯状细胞|M细胞|潘氏细胞|IEL|E
在黏膜免疫系统占主导地位的免疫球蛋白是|IgA|IgD|IgE|IgG|IgM|A
FcRn|在成人中表达高于新生儿|是一种参与肠细胞介导转吞作用的受体|协助肠细胞将IgA从细胞基底侧向黏膜侧单向转运|协助肠细胞将IgA从细胞黏膜侧向基底侧单向转运|协助肠细胞将IgM从细胞黏膜侧向基底侧单向转运|B
pIgR可协助肠细胞|将多聚IgA从细胞基底侧向黏膜侧单向转运|将多聚IgA从细胞黏膜侧向基底侧单向转运|将多聚IgM从细胞黏膜侧向基底侧单向转运|将多聚IgG从细胞基底侧向黏膜侧单向转运|将多聚IgG进行双向转运|A
肠黏膜上皮细胞不具有|转吞作用|固有免疫效应|特异性免疫效应|分泌细胞因子的功能|抗原提呈作用|C
M细胞|是黏膜免疫系统中一类特化的淋巴细胞|肠腔面有许多绒毛|主要功能是分泌消化酶或黏液|可高效摄取并转运抗原|具有抗原处理和提呈功能|D
IEL|位于黏膜固有层|以产生IgA的B细胞为主|以CD4⁺T细胞为主|以初始T细胞为主|多为γδT细胞|E
位于黏膜固有层的细胞是|M细胞|肠细胞|ILC|IEL|杯状细胞|C
黏膜固有层效应T淋巴细胞低表达|CCR9|CD45RO|CCR7|α₄β₇|CCR10|C
黏膜固有层效应T细胞|CD4⁺/CD8⁺T细胞的比例约3:1|主要是Th2细胞|仅针对病原菌产生应答|仅针对食物和肠道共生菌群产生应答|在稳态下较少分泌细胞因子|A
黏膜调节T细胞|主要穿插分布在上皮细胞间|具有抗原特异性|不表达Foxp3|只在致病菌感染黏膜情况下出现|可以诱导肠道的炎症反应|B
可诱导产生黏膜调节T细胞的是|IL-2和IL-4|IL-17和IL-22|IL-17和TGF-β|TGF-β和维甲酸RA|IL-17和维甲酸RA|D
ILC3|包括NK细胞和γδT细胞|主要分布在肠黏膜上皮细胞内|主要产生IL-10|包括Th1和Th2|包括LTi和表达NKp44的细胞|E
关于黏膜B淋巴细胞叙述错误的是|主要分泌IgM为主|派尔集合淋巴结中生发中心的B细胞主要是IgA⁺B细胞|通常是T细胞依赖性的|需有共生菌或外来微生物抗原刺激才能产生|主要分布在黏膜固有层|A
黏膜B1细胞|仅针对肠道共生菌群产生应答|针对T细胞依赖抗原发生应答|主要分布在黏膜上皮层内|受CD103⁺DC分泌的TGF-β和RA调控产生|可由胸腔和腹腔的B1细胞迁移而来|E
关于黏膜淋巴细胞再循环正确的是|在诱导部位初始T和B细胞表达CCR9R9|初始T和B细胞受到抗原刺激离开血液进入派尔集合淋巴结|初始T和B细胞受到抗原刺激进入诱导部位|在效应部位的T和B细胞表达CD45RO、CCR7和L-selectin|在效应部位的T和B细胞表达CD45RO、CCR9和α₄β₇|E
关于黏膜DC获取抗原的方式错误的是|抗原被M细胞非特异地传递给DC|DC在黏液中来回移行获取抗原|抗原通过抗体与肠细胞上的FcRn结合并转运给DC|DC可吞噬含有抗原物质的凋亡上皮细胞获取抗原|DC伸出细胞突起穿越上皮细胞间隙捕获肠腔内的抗原|B
CD11b⁺DC|在稳态激活抗原特异性初始T细胞|在稳态摄取抗原后产生IL-10|在稳态诱导T细胞活化促进炎症反应|在稳态摄取抗原后上调共刺激分子的表达|被致病菌激活后产生IL-10抑制炎症反应的发生|B
关于黏膜DC产生的TGF-β正确的是|主要由CD11b⁺DC产生|诱导黏膜B细胞向IgE进行类别转换|促进初始T细胞向Th17细胞分化|在诱导黏膜免疫耐受中起重要作用|可促进肠道炎症的诱导分子|D
关于CD103⁺DC的叙述错误的是|可诱导黏膜B细胞向IgA进行类别转换|可产生TGF-β|可产生维甲酸|诱导初始T细胞向Th17细胞分化|诱导初始T细胞向Treg细胞分化|D
口服耐受|针对经口腔进入的蛋白质抗原产生耐受|是中枢耐受的一种形式|诱导非特异性T细胞产生反应|与CD11b⁺DC产生IL-12有关|与黏膜Th17有关|A
炎性肠病的主要免疫病理成因是|肠道微环境的改变(饮食、感染、抗生素)|遗传因素引起淋巴细胞易于活化|遗传因素引起细胞因子过度产生|宿主对病原菌感染产生的免疫应答|肠道菌群失调|E
关于炎性肠病的叙述错误的是|主要包括Crohn's病和溃疡性结肠炎|是一种肠道慢性炎症性疾病|与Treg异常活化相关|与肠道菌群变化导致肠黏膜完整性受损有关|与固有免疫细胞和效应T细胞异常活化有关|C
已有研究表明,当封闭抗体结合到某病原菌的某一表位时能够成功阻止该病原菌进入机体。这个表位是由10个氨基酸组成的肽段。大量合成并纯化这个肽段,混入佐剂并充分考虑剂量等因素后给实验动物口服,但却未引起免疫反应,也没有诱导出针对该肽段的封闭抗体。最可能的原因是|该肽段没能成功被黏膜DC捕获|该肽段无法被黏膜DC提呈|没有能够识别该表位的T细胞存在|没有能够结合该表位的B细胞存在|机体存在口服耐受|E
目前已知NOD2与炎症性肠病的发生密切相关,以NOD2基因敲除小鼠作为实验动物,下列哪种情况无法诱导出炎性肠病|肠道完全无菌小鼠|用乙酸(acetic acid)诱导|用三硝基苯磺酸(TNBS)诱导|用硫酸葡聚糖钠(DSS)诱导|用恶唑酮(OXZ)诱导|A
患者,男性,20岁,熬夜后出现便血6月余。初为黄色成形便表面带少量鲜血,后发展为稀水样暗红色脓血便,社区医院予抗生素治疗无缓解,大便细菌培养阴性。结肠镜和病理显示升结肠慢性活动性炎,可见隐窝脓肿。该患者最可能的诊断是|急性胃肠炎|细菌性痢疾|克罗恩病|溃疡性结肠炎|结肠癌|D
患者,女性,30岁,左下腹痛、腹泻3月余。每天十余次,稀水样脓血便,伴里急后急,按急性细菌性痢疾治疗无效,结肠镜显示升结肠、乙状结肠、直肠黏膜充血、粗糙、糜烂、散在浅溃疡。不适合该患者的治疗方法是|糖皮质激素|促胃肠动力药|免疫抑制剂|氨基水杨酸制剂抗炎|适当补液防止水电平衡紊乱|B
缺乏多聚Ig受体(pIgR)的小鼠往往有很严重的免疫缺陷病,表现为肠道共生菌群易于感染。而人类中最常见的免疫缺陷病为单纯IgA缺乏,却往往症状轻微,最可能的原因是|小鼠和人的黏膜免疫系统存在巨大差异|小鼠和人的肠道共生菌群存在巨大差异|多聚Ig受体也可以转运IgM|人类比小鼠接触到的病原菌更少|小鼠更倾向于发生免疫缺陷病|C
患者,女性,23岁,间断腹痛、腹泻1年。无明显诱因出现腹部隐痛,腹泻,初为稀糊便,无黏液脓血,此后球状便与稀糊便交替出现,小肠CTE显示肠管官腔不规则狭窄及扩张,结肠镜显示回肠末段和回盲部纵行溃疡,有鹅卵石样改变。该患者最可能的诊断是|阿米巴肠炎|肠易激综合征|克罗恩病|溃疡性结肠炎|肠结核|C
患者,男性,27岁,间断黏液脓血便3年。无明显诱因出现腹痛、腹泻,每天4~5次,黄色不成形稀便,后逐渐加重,伴有鲜血偶有黏液。结肠镜显示结肠黏膜弥漫充血、水肿、糜烂,可见多枚假性息肉。该患者最主要的免疫病理成因是|环境因素|患者有遗传易感倾向|特殊致病菌的感染所致|肠道菌群失调|恶性肿瘤破坏|D
患者,男性,40岁,半年前由于劳累、饮食及睡眠不规律后出现便中带血,逐渐加重。病理提示结肠黏膜急性及慢性炎,可见隐窝炎及隐窝脓肿。患者的炎症部位不会出现过度活化的细胞是|Th1|Th2|Th17|Treg|B细胞|D
能够识别细菌鞭毛素的是|TLR2|TLR3|TLR4|TLR5|TLR9|D
能够识别革兰氏阳性细菌肽聚糖的是|TLR2|TLR3|TLR4|TLR5|TLR9|A
能够识别革兰氏阴性细菌脂多糖的是|TLR2|TLR3|TLR4|TLR5|TLR9|C
能够识别病毒双链RNA是|TLR2|TLR3|TLR4|TLR5|TLR9|B
能够识别微生物CpG DNA的是|TLR2|TLR3|TLR4|TLR5|TLR9|E
不具有抗原特异性的是|上皮内淋巴细胞|黏膜效应T细胞|黏膜调节T细胞|固有淋巴样细胞|黏膜B淋巴细胞|D
穿插在黏膜上皮细胞之间的是|上皮内淋巴细胞|黏膜效应T细胞|黏膜调节T细胞|固有淋巴样细胞|黏膜B淋巴细胞|A
调节肠道炎症反应的是|上皮内淋巴细胞|黏膜效应T细胞|黏膜调节T细胞|固有淋巴样细胞|黏膜B淋巴细胞|C
克罗恩病的好发部位是|空肠|回肠|回盲部和升结肠|横结肠|直肠和乙状结肠|C
溃疡性结肠炎的好发部位是|空肠|回肠|回盲部和升结肠|横结肠|直肠和乙状结肠|E
# 第十六章 免疫耐受（纯|分隔·无题号·可直接导入）
题干|选项A|选项B|选项C|选项D|选项E|正确答案
口服免疫原最不可能建立的是|胃肠黏膜局部免疫耐受|全身免疫耐受|中枢免疫耐受|外周B细胞免疫耐受|外周T细胞免疫耐受|C
关于T细胞耐受正确的描述是|需要高剂量TI抗原诱导|需要低剂量TI抗原诱导|所需时间较长|与抗原剂量无关|持续的时间较长|E
关于B细胞耐受的正确描述是|仅对TD抗原产生耐受|仅对TI抗原产生耐受|诱导所需时间较短|与抗原剂量无关|持续的时间较短|E
最容易诱导免疫耐受的时期是|胚胎期|新生儿期|青少年期|成年期|老年期|A
诱导免疫耐受的方式不包括|口服免疫原|静脉注射抗原|皮下多次注射小剂量抗原|过继输入调节性T细胞|使用变构肽|C
可能诱导免疫耐受的方法是|切除成年动物的胸腺|切除成年动物的脾脏|注射佐剂|注射极大量抗原|注射有丝分裂素和抗原|D
最容易被诱导免疫耐受的细胞是|B细胞|巨噬细胞|单核细胞|T细胞|NK细胞|D
属于免疫隔离部位的是|甲状腺|胰腺|小肠|肺|脑|E
影响免疫耐受形成的抗原因素不包括|性状|剂量|分子量|表位特点|给予途径|C
天然免疫耐受是指|机体对任何抗原都不发生反应的状态|机体对改变的自身组织成分不发生反应的状态|机体对非己抗原不发生反应的状态|机体对同种异体抗原不发生反应的状态|机体对自身组织成分不发生反应的状态|E
关于免疫耐受描述错误的是|具有特异性,只对特定抗原不应答|不影响适应性免疫应答整体功能|免疫缺陷是免疫耐受的一种|与药物引起的对免疫系统的普遍抑制不同|既能发生在中枢,也能发生在外周|C
在免疫耐受诱导中有关抗原因素描述错误的是|抗原剂量过高或过低都可导致免疫耐受|单体抗原较其聚体更易导致免疫耐受|某些抗原表位更易导致免疫耐受|合并使用佐剂不易导致免疫耐受|皮下注射抗原易致免疫耐受|E
关于胚胎期接触抗原所致的免疫耐受描述正确的是|属于外周耐受的一种|是不成熟淋巴细胞接触抗原所致|这种免疫耐受不具有特异性|这种免疫耐受容易被打破|这种免疫耐受只能由自身抗原刺激引起|B
