以下为**纯单行分隔符格式**的所有单选题（原文档无判断题和多选题），采用**【题目||选项A||选项B||选项C||选项D||选项E||正确答案】** 标准格式，无任何多余格式和换行，可直接复制粘贴导入绝大多数游戏题库系统。所有B1型共用备选答案题已转换为独立题目，每个题目自带完整选项。
目前用于测定感染病毒数量较准确易行的方法是||电镜下直接计数||空斑形成试验||红细胞凝集试验||ID50||TCID50||B
感染性病毒数量的单位常用||TCID50||PFU||CPE||CFU||inclusion body||B
在电镜下可观察到病毒颗粒10^7个/ml,而空斑形成试验只能检测到10^5 PFU/ml,其原因最可能是||空斑形成试验所用细胞为非允许细胞||在原液中存在几种病毒||空斑形成试验不敏感||此病毒发生基因变异||100个病毒颗粒中仅有1个病毒颗粒具有传染性||E
预防病毒感染最有效的方法是||抗病毒药物||免疫球蛋白||使用疫苗||干扰素||中药||C
不属于人工被动免疫的方式是||注射人血清丙种球蛋白||注射胎盘球蛋白||注射胸腺肽||注射干扰素||注射疫苗||E
对中和试验描述不正确的是||是病毒在细胞培养中被特异性抗体中和而失去感染性的一种试验||常用于检测病人血清中抗体的消长情况||中和抗体在体内一般维持时间较长||中和抗体阳性表明机体正在感染中||该法特异性较高||D
减毒活疫苗对人体有潜在危险性的原因不包括||毒力回复性变异||激活机体潜伏病毒||可引起持续性感染||不便于保存||可能进入机体引发相应并发症||D
不属于抗病毒药物的是||阿昔洛韦||拉米夫定||奈韦拉平||头孢拉定||奥司他韦||D
某孕妇,怀孕14+周,疑似感染风疹病毒,为防止畸形胎儿的出生,应进行的快速、简易诊断的是||补体结合试验||血凝抑制试验||病毒特异性IgM抗体检测||中和试验||病毒核酸检测||C
某护士给一位乙型肝炎病毒(HBV)携带者注射时,不慎被病人用过的针头刺伤手指。为预防HBV感染,应首先采取的措施是||注射抗生素||注射丙种球蛋白||注射乙肝疫苗||注射HBIg||注射α-干扰素||D
适用于人群免疫情况调查的试验是||红细胞吸附试验||血凝抑制试验||补体结合试验||中和试验||PCR||D
可在体外扩增病毒核酸的试验是||红细胞吸附试验||血凝抑制试验||补体结合试验||中和试验||PCR||E
分离狂犬病病毒应取||鼻咽漱液||粪便||血液||脑组织||尿||D
分离脊髓灰质炎病毒最好取||鼻咽漱液||粪便||血液||脑组织||尿||B
分离流感病毒应采集||鼻咽漱液||粪便||血液||脑组织||尿||A
脊髓灰质炎糖丸属于||灭活疫苗||减毒活疫苗||亚单位疫苗||基因工程疫苗||核酸疫苗||B
目前广泛使用的重组乙型肝炎疫苗属于||灭活疫苗||减毒活疫苗||亚单位疫苗||基因工程疫苗||核酸疫苗||D
利用狂犬病病毒刺突糖蛋白制备的疫苗属于||灭活疫苗||减毒活疫苗||亚单位疫苗||基因工程疫苗||核酸疫苗||C

# 第二十五章 呼吸道病毒
甲型流感病毒亚型划分的依据是||包膜上的HA和NA||核酸||核糖核蛋白||M蛋白||核蛋白||A
决定流感病毒型别的是||RNP||NP||MP||HA+NA||NP+MP||E
SARS的病原体是||呼吸道合胞病毒||麻疹病毒||鼻病毒||流感病毒||冠状病毒||E
易发生变异的呼吸道病毒是||腮腺炎病毒||麻疹病毒||呼吸道合胞病毒||流感病毒||鼻病毒||D
由麻疹病毒引起的SSPE是||隐性感染||潜伏感染||慢发病毒感染||亚临床感染||慢性感染||C
分离流感病毒最常采取的材料是||血液||咽漱液||粪便||痰||脑组织||B
孕妇感染哪种病毒可引起胎儿先天性畸形||冠状病毒||鼻病毒||麻疹病毒||流感病毒||风疹病毒||E
属于正黏病毒科,基因分节段的病毒是||流感病毒||风疹病毒||副流感病毒||呼肠孤病毒||轮状病毒||A
抗流感病毒再感染的主要免疫因素是||干扰素||血凝素抗体||细胞免疫||神经氨酸酶抗体||核蛋白抗体||B
造成流感世界性大流行的原因是||流感病毒抗原性不强,故免疫力不强||流感病毒对理化因素的抵抗力强||流感病毒型别多||甲型流感病毒易变异成新的亚型||乙型流感病毒易变异成新的亚型||D
婴幼儿病毒性肺炎的最主要病原是||流感病毒||腺病毒||鼻病毒||呼吸道合胞病毒||腮腺炎病毒||D
6岁男孩,出现发热、疲劳、耳痛和脸颊肿大。下列哪个患者信息可以确诊他感染了腮腺炎病毒||疫苗接种史||腮腺炎接触史||检测到腮腺炎病毒特异的IgM抗体||脑炎症状||睾丸炎的临床表现||C
8个月大婴儿怀疑为呼吸道合胞病毒感染,最可能出现下列哪种临床疾病||支气管炎||脑炎||脑膜炎||咽炎||胰腺炎||A
20个月男孩出现发热、易怒、红色皮疹,起始于面部,后扩散到全身。9岁时出现神经功能恶化,被诊断为亚急性硬化性全脑炎,下述哪个说法正确||缺陷性水痘-带状疱疹病毒在脑组织中出现||在脑脊液中检测到高滴度的麻疹病毒抗体||风疹病毒感染的迟发并发症||大脑功能渐进性衰退||注射疫苗的偶发现象||B
70岁老人未接种流感疫苗而感染流感。一周后死于急性肺炎,可能是下列哪个病原体引起的||军团菌||金黄色葡萄球菌||麻疹病毒||巨细胞病毒||李斯特菌||B
流感病毒常发生||隐性感染||急性(病原消灭型)感染||慢性感染||潜伏感染||慢发病毒感染||B
脊髓灰质炎病毒常发生||隐性感染||急性(病原消灭型)感染||慢性感染||潜伏感染||慢发病毒感染||A
乙型肝炎病毒常发生||隐性感染||急性(病原消灭型)感染||慢性感染||潜伏感染||慢发病毒感染||C
HIV发生的感染是||隐性感染||急性(病原消灭型)感染||慢性感染||潜伏感染||慢发病毒感染||E
单纯疱疹病毒常发生||隐性感染||急性(病原消灭型)感染||慢性感染||潜伏感染||慢发病毒感染||D
分离腮腺炎病毒最常采取的材料是||粪便||咽漱液||血液||痰||唾液||E
乙型肝炎诊断最常采取的材料是||粪便||咽漱液||血液||痰||唾液||C
属逆转录病毒的是||呼吸道合胞病毒||柯萨奇B组病毒||流感病毒||人类免疫缺陷病毒||腮腺炎病毒||D
主要引起心肌炎的是||呼吸道合胞病毒||柯萨奇B组病毒||流感病毒||人类免疫缺陷病毒||腮腺炎病毒||B
主要引起婴幼儿支气管肺炎的是||呼吸道合胞病毒||柯萨奇B组病毒||流感病毒||人类免疫缺陷病毒||腮腺炎病毒||A

# 第二十六章 肠道病毒
关于肠道病毒的共同特征,错误的叙述是||属小RNA病毒科,呈二十面体立体对称||耐酸、耐蛋白酶和胆汁||以芽生的方式释放||临床主要表现为多种肠道外感染||通过感染肠道细胞入侵机体||C
均通过粪-口途径传播的微生物是下列哪一组||脊髓灰质炎病毒、ECHO病毒、流感病毒、柯萨奇病毒||脊髓灰质炎病毒、ECHO病毒、EV71、甲型肝炎病毒||柯萨奇病毒、甲型肝炎病毒、破伤风梭菌、狂犬病病毒||布鲁菌、腮腺炎病毒、ECHO病毒、柯萨奇病毒||脊髓灰质炎病毒、EB病毒、ECHO病毒、柯萨奇病毒||B
肠道病毒基因组中,编码功能蛋白的基因是||Vpg和P1区||P1区和P2区||P2区和P3区||P1区和P3区||Vpg和P2区||C
下列选项中,哪种细胞表面不表达脊髓灰质炎病毒受体||脊髓前角细胞||背根节细胞||运动神经元||呼吸道黏膜上皮细胞||淋巴细胞||D
下列关于脊髓灰质炎病毒的致病特点中,叙述错误的是||经粪-口途径传播||隐性感染普遍||可引起病毒血症||病后可获得同型病毒的持久免疫力||主要侵犯脊髓后根神经节||E
脊髓灰质炎病毒最主要的感染类型是||迟发感染||隐性感染||潜伏感染||慢发病毒感染||急性感染||B
口服脊髓灰质炎减毒活疫苗的初服和加强年龄分别为||2个月龄 4岁||新生儿 3岁||4个月龄 4岁||6个月龄 5岁||8个月龄 3岁||A
关于埃可病毒的特点,下列叙述错误的一项是||是无包膜的RNA病毒||受体仅分布于脊髓前角细胞||主要以粪-口途径传播||可引起人类的多种疾病||包括31个血清型||B
柯萨奇病毒B组是病毒性心肌炎的重要病原体,其主要传播途径是||消化道||母婴垂直传播||血液和血制品||蚊虫叮咬||呼吸道||A
柯萨奇病毒分为A、B两组,其分组的主要依据是||基因组PCR检测||对乳鼠的致病特点||血凝试验||中和试验||对人的致病特征||B
急性出血性结膜炎的病原体是||柯萨奇病毒A20型||脊髓灰质炎病毒||埃可病毒||柯萨奇病毒B组||肠道病毒70型||E
机体被EV71感染后,诱生的特异性中和抗体是||sIgA||IgG||抗-VP1||IgM||抗-VPg||C
一名男孩在口服脊髓灰质炎减毒活疫苗(OPV)后出现发热、颈背强直、暂时性肢体麻痹等症状,初步诊断为疫苗相关麻痹型脊髓灰质炎(VAPP)。为避免类似事件的发生,最好的办法是||OPV+IPV同时使用||先用OPV,再用IPV||不用减毒活疫苗||不用灭活疫苗||先用IPV,再用OPV||E
一患儿出现发热、咽痛,在软腭、悬雍垂周围出现水疱性溃疡损伤等症状,初步诊断为疱疹性咽峡炎。下列病毒中最可能的病原体是||脊髓灰质炎病毒||柯萨奇病毒B组||肠道病毒71型||柯萨奇病毒A组||埃可病毒||D
一名三岁的幼儿园女孩,已经发热3天,流口水现象严重,食欲明显下降。查体发现患儿手、足部位皮肤出现斑丘疹,伴有明显的口腔黏膜水疱疹,且患儿所在幼儿园的其他一些幼儿也有类似表现。初步判断最可能的病原体是||诺如病毒||EV71||CVA20||埃可病毒||CVB||B
一患儿先有发热、腹泻和流感症状,继而出现胸闷、心悸等表现。查体发现心脏扩大、心律失常,心电图显示ST-T改变与异位心律等。实验室检查结果,血清中抗柯萨奇B组3型(CVB3)抗体效价≥640。初步诊断为病毒性心肌炎,下列建议中错误的是||中和试验测定病毒滴度||RT-PCR查病毒核酸||免疫电镜检查病毒颗粒||免疫荧光查病毒抗原||细胞培养分离病毒||A
肠道病毒71型||引起病毒性心肌炎||引起手足口病||引起无菌性脑膜炎||引起疱疹性咽峡炎||引起婴幼儿腹泻||B
柯萨奇病毒B组||引起病毒性心肌炎||引起手足口病||引起无菌性脑膜炎||引起疱疹性咽峡炎||引起婴幼儿腹泻||A
急性出血性结膜炎||诺如病毒||脊髓灰质炎病毒||埃可病毒||肠道病毒70型||柯萨奇病毒B组||D
小儿麻痹症的病原体||诺如病毒||脊髓灰质炎病毒||埃可病毒||肠道病毒70型||柯萨奇病毒B组||B

# 第二十七章 急性胃肠炎病毒
下列选项中,有关急性胃肠炎病毒的描述错误的是||轮状病毒是引起人类腹泻的重要病原体||病毒核酸均为RNA||主要包括四种病毒||主要症状为腹泻与呕吐||主要通过粪-口途径传播||B
下列选项中,不属于急性胃肠炎病毒的是||轮状病毒||杯状病毒||埃可病毒||星状病毒||肠道腺病毒||C
导致婴幼儿重症腹泻最常见的病原体是||轮状病毒B组||EV71||诺如病毒||轮状病毒A组||星状病毒||D
轮状病毒导致腹泻的主要机制是||肠壁神经功能失调||肠道细胞损伤后大量水分进入肠腔||与肠道神经细胞作用,刺激呕吐中枢||肠道炎症分泌过度||肠道吸收功能受损||E
下列哪一项检测对轮状病毒感染不具有诊断意义||红细胞吸附试验||RT-PCR检测病毒核酸||细胞培养分离病毒||提取核酸进行聚丙烯酰胺凝胶电泳||ELISA检测病毒抗原||A
经常引起急性胃肠炎,且基因组为双链分节段RNA的双层衣壳病毒是下述哪个病毒科成员||杯状病毒科||呼肠病毒科||腺病毒科||冠状病毒科||副黏病毒科||B
下列描述中,不属于轮状病毒特性的是||可引起婴幼儿或成人腹泻||主要经粪口途径传播||可引起急性出血性结膜炎||核酸为RNA病毒||电镜下呈车轮状形态||C
能够引起急性胃肠炎的腺病毒是||44、45、46三型||VP1、VP2、VP3型||40、41、42三型||3、7、9三型||37、38、39三型||C
下列病毒中,不能进行人工培养的是||柯萨奇病毒||星状病毒||埃可病毒||轮状病毒||诺如病毒||E
下列关于星状病毒的描述中,错误的是||主要引起婴幼儿腹泻||基因组为双链RNA||电镜下表面结构呈星形||经粪-口途径传播||至少有8个血清型||B
全球引起急性病毒性胃肠炎暴发流行的主要病原体是||诺如病毒||札幌病毒||轮状病毒||星状病毒||肠道腺病毒||A
轮状病毒感染可用多种方法预防,但不包括||隔离传染源||切断传播途径||消毒污染物||接种灭活疫苗||加强洗手环节||D
某大学生利用暑假到滨海城市旅游,在食用海鲜24小时后发生呕吐、腹泻、头痛,诊断为急性胃肠炎。其最可能的感染的病原体是||乙型肝炎病毒||轮状病毒||大肠埃希菌||诺如病毒||星状病毒||D
一幼儿园的三岁女孩,突然发热、呕吐和腹泻1天,腹泻排出的是大量水样便。在她所上的幼儿园中,还有其他的儿童也出现了类似症状,但幼儿园老师没有类似病例出现。初步判断最可能的病原体是||星状病毒||A组轮状病毒||肠道腺病毒||诺如病毒||柯萨奇病毒||B
幼儿园刚放暑假,一名四岁男孩就出现水样腹泻,每天排便6~7次,并伴有咽痛和咳嗽;患儿还有轻度发热,但呕吐症状不严重。最可能的病原体是||埃可病毒||诺如病毒||肠道腺病毒||A组轮状病毒||星状病毒||C
时值秋末冬初季节,一幼儿园突发公共卫生事件,多数在园的幼儿突然出现恶心、呕吐、腹痛和水样腹泻,疑为杯状病毒感染所致。下列方法中最快速的病原体检查方法是||免疫电镜查病毒颗粒||检查病毒抗原||检查病毒核酸||细胞培养分离病毒||提取核酸进行聚丙烯酰胺凝胶电泳||A
轮状病毒A组||引起病毒性心肌炎||引起手足口病||引起婴幼儿重症腹泻||引起疱疹性咽峡炎||引起急性病毒性胃肠炎||C
杯状病毒||引起病毒性心肌炎||引起手足口病||引起婴幼儿重症腹泻||引起疱疹性咽峡炎||引起急性病毒性胃肠炎||E

# 第二十八章 肝炎病毒
属于DNA病毒的是||HAV||HBV||HCV||HDV||HEV||B
属于缺陷病毒的是||HAV||HBV||HCV||HDV||HEV||D
